timestamp(ms),pitch(¡Æ),roll(¡Æ),yaw(¡Æ),flex1,flex2,flex3,flex4,flex5
timestamp,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5
27981,-9.03,29.54,13.98,831,924,872,916,900
28001,-6.29,21.36,12.15,833,924,875,908,895
28021,-11.11,21.30,7.45,836,925,867,916,890
28041,-8.61,13.37,4.09,841,922,877,913,894
28061,-10.13,20.75,6.23,833,926,878,915,895
28081,-8.73,20.81,4.82,843,921,876,919,900
28101,-11.05,11.29,1.46,841,924,877,917,899
28121,-8.24,13.43,-0.61,844,939,873,916,901
28141,-5.13,12.51,0.37,844,926,877,917,900
28161,-8.79,18.19,2.44,842,920,876,922,902
28181,-4.52,19.65,6.77,838,918,867,917,900
28201,3.60,18.74,5.31,843,944,877,916,899
28221,10.19,4.58,-2.62,847,924,869,918,905
28241,6.29,7.02,-4.27,838,924,875,927,900
28261,10.80,10.13,-3.05,845,925,881,928,903
28281,-6.77,10.99,1.28,849,926,886,928,911
28301,-4.64,11.96,2.26,845,924,880,921,915
28321,5.62,10.19,1.59,843,929,879,919,900
28341,4.58,3.66,1.40,839,918,875,930,920
28361,3.66,3.78,-0.24,840,932,877,926,915
28381,-2.81,-2.75,-1.59,845,925,876,916,915
28401,-7.69,-5.00,-1.65,839,925,877,922,914
28421,-4.09,1.28,-0.55,841,925,875,933,920
28441,1.71,2.75,1.04,852,926,878,918,936
28461,1.65,0.85,0.73,836,924,878,921,917
28481,-1.83,-2.56,0.67,843,934,888,929,910
28501,-0.43,-3.60,-1.89,841,924,873,924,913
28521,2.32,6.47,2.93,839,921,877,939,915
28541,5.62,3.11,1.10,841,932,878,922,919
28561,4.15,-6.16,-3.42,842,923,883,928,912
28581,3.97,-3.72,-1.10,843,929,885,929,907
28601,3.05,-1.59,0.67,840,934,881,919,917
28621,2.38,1.28,-0.49,841,931,884,928,922
28641,2.20,-2.75,-4.39,842,920,882,928,908
28661,5.80,-7.26,-6.71,837,935,885,928,915
28681,4.09,-8.24,-3.66,836,930,901,928,909
28701,0.43,-2.87,-2.01,839,925,884,930,920
28721,1.10,13.55,2.81,839,923,880,920,919
28741,6.10,10.44,1.53,836,933,877,934,910
28761,4.33,-4.64,-3.17,838,932,883,929,909
28781,-1.83,-9.89,-4.33,838,927,880,932,912
28801,-1.46,1.28,2.75,843,930,889,926,914
28821,2.62,9.28,5.86,840,933,886,930,906
28841,7.63,-2.26,0.06,837,926,877,924,919
28861,2.75,-11.17,-0.67,841,938,888,932,913
28881,-1.53,5.43,3.23,840,931,886,939,920
28901,2.93,6.96,6.77,841,936,881,925,917
28921,5.80,0.67,2.26,843,929,881,926,912
28941,4.70,-6.71,-2.08,835,936,878,929,921
28961,-1.77,-2.93,1.22,838,938,879,927,916
28981,-5.49,0.06,2.81,838,922,884,931,917
29001,-2.87,2.44,1.34,841,935,883,925,921
29021,5.07,2.62,0.85,843,935,874,933,921
29041,7.51,-0.43,-0.98,846,940,890,931,914
29061,2.93,-0.24,-0.98,841,935,877,932,913
29081,0.43,6.90,0.79,841,939,885,929,918
29101,4.88,2.08,-0.61,845,931,888,932,918
29121,7.32,-7.26,-4.46,841,926,889,920,919
29141,3.85,-7.20,-2.62,834,919,878,932,908
29161,1.65,4.88,1.59,840,933,881,931,927
29181,3.17,5.49,-0.98,839,927,879,920,922
29201,3.85,-1.22,-5.98,835,931,877,911,918
29221,0.98,-14.59,-11.05,837,927,877,918,919
29241,-6.23,-20.69,-9.40,830,921,871,919,920
29261,-5.37,-0.55,-4.94,830,929,881,917,915
29281,0.18,-9.16,-3.54,831,923,877,919,906
29301,5.55,-12.21,-10.99,829,919,871,919,905
29321,14.83,-13.85,-11.90,826,914,870,919,899
29341,11.05,11.47,-11.78,819,909,870,911,906
29361,-5.92,-18.98,-9.40,827,914,872,913,908
29381,-1.65,-0.61,-12.63,824,921,869,914,898
29401,-2.08,-0.37,-7.69,821,914,860,907,895
29421,1.89,5.74,-4.82,816,900,855,909,889
29441,-1.65,-6.96,-5.49,818,905,852,898,896
29461,3.78,-8.73,-6.59,815,896,851,899,891
29481,11.35,-3.11,-4.70,815,902,851,898,890
29501,6.41,-0.12,-1.22,814,899,845,897,883
29521,2.56,9.46,0.24,812,892,843,888,881
29541,-0.18,-8.79,1.22,812,893,841,898,881
29561,2.14,-4.21,-2.99,811,885,836,890,871
29581,2.14,-2.56,-1.53,805,884,837,882,879
29601,0.06,4.09,4.82,805,880,827,877,866
29621,-3.66,0.06,3.42,803,875,822,874,866
29641,-2.75,-7.08,-3.11,804,867,814,870,872
29661,-1.16,-10.62,-7.20,805,860,811,872,861
29681,-1.40,-11.47,-4.33,801,857,807,865,855
29701,-0.49,-6.71,-1.95,805,855,812,871,859
